# This Data Feed provides certain approximate geofeed data from a subset
# of Meta sources. The data included in this Data Feed may be used only
# for content delivery network services to improve service and
# performance for the benefit of Meta users. Additionally, your access
# and use of this Data Feed must comply with all applicable laws, rules,
# and regulations. You may not access or use this Data Feed if you are
# prohibited from receiving products, services, or software under
# applicable law. Meta reserves all rights not expressly granted to you.
# Meta may change, withdraw, terminate availability to, testing of
# and/or use of, or discontinue the Data Feed (or any portion thereof)
# at any time and in our sole discretion, with or without notice to you.
# 
# THE DATA FEED IS PROVIDED “AS IS” AND “AS AVAILABLE”. META MAKES NO
# GUARANTEES THAT THE DATA FEED WILL BE ERROR-FREE. TO THE EXTENT
# PERMITTED BY LAW, META DISCLAIMS ALL WARRANTIES, WHETHER EXPRESS OR
# IMPLIED, INCLUDING THE IMPLIED WARRANTIES OF MERCHANTABILITY, FITNESS
# FOR A PARTICULAR PURPOSE, TITLE, AND NON-INFRINGEMENT.
# 
# META’S LIABILITY IS LIMITED TO THE FULLEST EXTENT PERMITTED BY
# APPLICABLE LAW, AND UNDER NO CIRCUMSTANCE WILL META OR ITS AFFILIATES
# BE LIABLE FOR ANY LOST PROFITS, REVENUES, INFORMATION, OR DATA, OR
# CONSEQUENTIAL, SPECIAL, INDIRECT, EXEMPLARY, PUNITIVE, OR INCIDENTAL
# DAMAGES ARISING OUT OF OR RELATED TO THE DATA FEED, EVEN IF META HAS
# BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES. META’S AGGREGATE
# LIABILITY ARISING OUT OF OR RELATING TO THE DATA FEED WILL NOT EXCEED
# $100. THESE LIMITATIONS WILL APPLY NOTWITHSTANDING THE FAILURE OF THE
# ESSENTIAL PURPOSE OF ANY REMEDY.
# 
# Meta reserves the right to amend these Terms at any time. Your
# continued use of or access to the Data Feed after any such amendment
# will constitute your binding agreement to these terms as amended. If
# Meta fails to enforce any of these Terms, it will not be considered a
# waiver.
# 
# These Terms will be governed and construed under the laws of the State
# of California without regard to conflicts of law provisions. Any suit
# or proceeding arising out of or relating to these terms will be
# brought in the federal and/or state courts, as applicable, in San
# Mateo County, California, and each party irrevocably submits to the
# jurisdiction and venue of such courts.
# 
# Publication date: Fri Oct 17 2025
31.13.78.0/24,NZ,,Auckland,
2a03:2880:f061::/48,NZ,,Auckland,
2a03:2880:f161::/48,NZ,,Auckland,
2a03:2880:f261::/48,NZ,,Auckland,
57.144.224.0/23,IN,IN-GJ,Gift City Gandhinagar,
2a03:2880:f370::/48,IN,IN-GJ,Gift City Gandhinagar,
57.144.222.0/23,NL,,Amsterdam,
2a03:2880:f36f::/48,NL,,Amsterdam,
157.240.201.0/24,NL,,Amsterdam,
2a03:2880:f245::/48,NL,,Amsterdam,
2a03:2880:f045::/48,NL,,Amsterdam,
2a03:2880:f145::/48,NL,,Amsterdam,
31.13.72.0/24,SE,,Bromma,
2a03:2880:f00a::/48,SE,,Bromma,
2a03:2880:f10a::/48,SE,,Bromma,
2a03:2880:f20a::/48,SE,,Bromma,
173.252.103.0/24,US,US-GA,Atlanta,
2a03:2880:2aff::/48,US,US-GA,Atlanta,
57.144.252.0/23,US,US-GA,Atlanta,
2a03:2880:f37e::/48,US,US-GA,Atlanta,
31.13.88.0/24,US,US-GA,Atlanta,
2a03:2880:f011::/48,US,US-GA,Atlanta,
2a03:2880:f111::/48,US,US-GA,Atlanta,
2a03:2880:f211::/48,US,US-GA,Atlanta,
57.144.132.0/23,US,US-GA,Atlanta,
2a03:2880:f342::/48,US,US-GA,Atlanta,
57.141.7.0/24,US,US-GA,Atlanta,
57.141.6.0/24,US,US-GA,Atlanta,
2a03:2880:f806::/48,US,US-GA,Atlanta,
2a03:2880:f807::/48,US,US-GA,Atlanta,
173.252.95.0/24,US,US-IA,Altoona,
2a03:2880:10ff::/48,US,US-IA,Altoona,
157.240.243.0/24,ES,,Barcelona,
2a03:2880:f170::/48,ES,,Barcelona,
2a03:2880:f270::/48,ES,,Barcelona,
2a03:2880:f078::/48,ES,,Barcelona,
185.60.217.0/24,DE,,Berlin,
2a03:2880:f036::/48,DE,,Berlin,
2a03:2880:f136::/48,DE,,Berlin,
2a03:2880:f236::/48,DE,,Berlin,
163.70.148.0/24,TH,,Bangkok,
2a03:2880:f0a7::/48,TH,,Bangkok,
2a03:2880:f18b::/48,TH,,Bangkok,
2a03:2880:f28b::/48,TH,,Bangkok,
163.70.149.0/24,TH,,Bangkok,
